GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
Massbank:PB000320 Caffeoylcholine|2-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxyethyl-trimethylazanium	Caffeoylcholine	InChI=1S/C14H19NO4/c1-15(2,3)8-9-19-14(18)7-5-11-4-6-12(16)13(17)10-11/h4-7,10H,8-9H2,1-3H3,(H-,16,17,18)/p+1	C[N+](C)(C)CCOC(=O)C=CC1=CC(=C(C=C1)O)O				unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/159056
Massbank:PR101037 1-Isothiocyanato-9-(methylsulfinyl)-nonane|9-Methylsulfinylnonnyl isothiocyanate	1-Isothiocyanato-9-(methylsulfinyl)-nonane	InChI=1S/C11H21NOS2/c1-15(13)10-8-6-4-2-3-5-7-9-12-11-14/h2-10H2,1H3	CS(=O)CCCCCCCCCN=C=S	lipid			unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/9921221
MLS000863575-01!5,7-dihydroxy-2-(4-hydroxyphenyl)-6-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one	5,7-dihydroxy-2-(4-hydroxyphenyl)-6-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one			unknown			unknown	unknown	natural	natural								no	no		
MLS000863612-01!3-[4,5-dihydroxy-6-(hydroxymethyl)-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one	3-[4,5-dihydroxy-6-(hydroxymethyl)-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural								no	no		
Mononervonin (15c)	Mononervonin (15c)	InChI=1S/C27H52O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-27(30)31-25-26(29)24-28/h9-10,26,28-29H,2-8,11-25H2,1H3/b10-9-	CCCCCCCCC=CCCCCCCCCCCCCCC(=O)OCC(CO)O	lipid			unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/45934134
N-(8Z,11Z,14Z-Eicosatrienoyl)ethanolamine	N-(8Z,11Z,14Z-Eicosatrienoyl)ethanolamine			lipid	fatty amide		unknown	unknown	unknown	unknown								no	no		
N-lactoyl-phenylalanine	N-lactoyl-phenylalanine	InChI=1S/C12H15NO4/c1-8(14)11(15)13-10(12(16)17)7-9-5-3-2-4-6-9/h2-6,8,10,14H,7H2,1H3,(H,13,15)(H,16,17)/t8-,10-/m0/s1	CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)O	amino acid / peptide			unknown	unknown	natural	natural								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/N-lactoyl-Phenylalanine#section=2D-Structure
N-Succinyl-5-aminoimidazole-4-carboxamide ribose	N-Succinyl-5-aminoimidazole-4-carboxamide ribose	InChI=1S/C13H18N4O9/c14-10-7(11(23)16-4(13(24)25)1-6(19)20)15-3-17(10)12-9(22)8(21)5(2-18)26-12/h3-5,8-9,12,18,21-22H,1-2,14H2,(H,16,23)(H,19,20)(H,24,25)/t4-,5+,8+,9+,12+/m0/s1	C1=NC(=C(N1C2C(C(C(O2)CO)O)O)N)C(=O)NC(CC(=O)O)C(=O)O	unknown			unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/54478644
NCGC00091914-04!(2R,3R)-2,3-bis[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy]butanedioic acid	(2R,3R)-2,3-bis[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy]butanedioic acid			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00096070-07!7-[(2E)-3,7-dimethylocta-2,6-dienoxy]chromen-2-one	7-[(2E)-3,7-dimethylocta-2,6-dienoxy]chromen-2-one			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00163634-02![(2R,3S,4S,5R,6S)-6-[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate	[(2R,3S,4S,5R,6S)-6-[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00168800-03_C21H22O11_2,6-Dihydroxy-2-(4-hydroxybenzyl)-3-oxo-2,3-dihydro-1-benzofuran-4-yl beta-D-glucopyranoside	2,6-Dihydroxy-2-(4-hydroxybenzyl)-3-oxo-2,3-dihydro-1-benzofuran-4-yl beta-D-glucopyranoside			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00168820-02!5-hydroxy-2-(4-hydroxyphenyl)-3,7-bis[[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy]chromen-4-one	5-hydroxy-2-(4-hydroxyphenyl)-3,7-bis[[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy]chromen-4-one			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00168829-02!7-[(2E)-5-hydroxy-3,7-dimethylocta-2,6-dienoxy]chromen-2-one	7-[(2E)-5-hydroxy-3,7-dimethylocta-2,6-dienoxy]chromen-2-one			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00168861-02!(2S,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid	(2S,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00168877-02_C15H20O8_3-(4-Hydroxyphenyl)-3-oxopropyl beta-D-glucopyranoside	3-(4-Hydroxyphenyl)-3-oxopropyl beta-D-glucopyranoside	InChI=1S/C15H20O8/c16-7-11-12(19)13(20)14(21)15(23-11)22-6-5-10(18)8-1-3-9(17)4-2-8/h1-4,11-17,19-21H,5-7H2/t11-,12-,13+,14-,15-/m1/s1	C1=CC(=CC=C1C(=O)CCOC2C(C(C(C(O2)CO)O)O)O)O	unknown			unknown	unknown	natural	natural products database hit								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/10471692#section=Top
NCGC00168902-03!2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one	2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00168943-02![(2R,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl acetate	[(2R,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl acetate			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00168975-03_C16H22O10_1H,3H-Pyrano[3,4-c]pyran-1-one, 5-ethenyl-6-(beta-D-glucopyranosyloxy)-4,4a,5,6-tetrahydro-4a-hydroxy-, (4aR,5R,6S)-	1H,3H-Pyrano[3,4-c]pyran-1-one, 5-ethenyl-6-(beta-D-glucopyranosyloxy)-4,4a,5,6-tetrahydro-4a-hydroxy-, (4aR,5R,6S)-			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00168985-02_C53H86O22_1-O-[(3beta,5xi,9xi)-3-{[6-Deoxy-alpha-L-mannopyranosyl-(1->4)-[beta-D-glucopyranosyl-(1->3)]-beta-D-xylopyranosyl]oxy}-23-hydroxy-28-oxoolean-12-en-28-yl]-beta-D-glucopyranose	1-O-[(3beta,5xi,9xi)-3-{[6-Deoxy-alpha-L-mannopyranosyl-(1->4)-[beta-D-glucopyranosyl-(1->3)]-beta-D-xylopyranosyl]oxy}-23-hydroxy-28-oxoolean-12-en-28-yl]-beta-D-glucopyranose			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00169021-02!(2S,3S,4S,5R,6S)-6-[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid	(2S,3S,4S,5R,6S)-6-[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00169081-02_C23H34O16_beta-D-Glucopyranose, 1-[2-[(2S,3E,4S)-3-ethylidene-2-(beta-D-glucopyranosyloxy)-3,4-dihydro-5-(methoxycarbonyl)-2H-pyran-4-yl]acetate]	beta-D-Glucopyranose, 1-[2-[(2S,3E,4S)-3-ethylidene-2-(beta-D-glucopyranosyloxy)-3,4-dihydro-5-(methoxycarbonyl)-2H-pyran-4-yl]acetate]			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00169106-02![(2R,3S,4S,5R,6R)-6-[2-(3,4-dihydroxyphenyl)ethoxy]-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate	[(2R,3S,4S,5R,6R)-6-[2-(3,4-dihydroxyphenyl)ethoxy]-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00169170-02!(2R,3R,4R,5R,6S)-2-[[(2R,3S,4S,5R,6S)-6-[(2R,3R,4R,5S,6S)-2-[(2E,6E,10E)-14-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-2,6,10,14-tetramethylhexadeca-2,6,10,15-tetraenoxy]-3,5-dihydroxy-6-methyloxan-4-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methoxy]-6-methyloxane-3,4,5-triol	(2R,3R,4R,5R,6S)-2-[[(2R,3S,4S,5R,6S)-6-[(2R,3R,4R,5S,6S)-2-[(2E,6E,10E)-14-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-2,6,10,14-tetramethylhexadeca-2,6,10,15-tetraenoxy]-3,5-dihydroxy-6-methyloxan-4-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methoxy]-6-methyloxane-3,4,5-triol			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00169187-02!5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one	5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00169297-02!5-hydroxy-2-(4-hydroxyphenyl)-6,7-dimethoxychromen-4-one	5-hydroxy-2-(4-hydroxyphenyl)-6,7-dimethoxychromen-4-one			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00169337-02!7-hydroxy-8-(3-methylbut-2-enyl)chromen-2-one	7-hydroxy-8-(3-methylbut-2-enyl)chromen-2-one			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00169368-03!3,6-bis(3,4,5-trimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan	Yangabin	InChI=1S/C24H30O8/c1-25-17-7-13(8-18(26-2)23(17)29-5)21-15-11-32-22(16(15)12-31-21)14-9-19(27-3)24(30-6)20(10-14)28-4/h7-10,15-16,21-22H,11-12H2,1-6H3	COC1=CC(=CC(=C1OC)OC)C2C3COC(C3CO2)C4=CC(=C(C(=C4)OC)OC)OC	unknown			unknown	unknown	natural	natural products database hit								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/99091#section=Top
NCGC00169406-02_C15H18O8_2-Propenoic acid, 3-[4-(beta-D-glucopyranosyloxy)phenyl]-, (2E)-	2-Propenoic acid, 3-[4-(beta-D-glucopyranosyloxy)phenyl]-, (2E)-			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00169437-02!5-[6-[[3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-4-(3,4-dihydroxyphenyl)-7-methoxychromen-2-one	5-[6-[[3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-4-(3,4-dihydroxyphenyl)-7-methoxychromen-2-one	InChI=1S/C27H30O15/c1-37-12-5-16-20(13(7-19(31)40-16)11-2-3-14(29)15(30)4-11)17(6-12)41-25-23(34)22(33)21(32)18(42-25)8-38-26-24(35)27(36,9-28)10-39-26/h2-7,18,21-26,28-30,32-36H,8-10H2,1H3	COC1=CC(=C2C(=CC(=O)OC2=C1)C3=CC(=C(C=C3)O)O)OC4C(C(C(C(O4)COC5C(C(CO5)(CO)O)O)O)O)O	unknown			unknown	unknown	natural	natural products database hit								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/23983728#section=Top
NCGC00169439-02!8-(2,3-dihydroxy-3-methylbutyl)-7-methoxychromen-2-one	8-(2,3-dihydroxy-3-methylbutyl)-7-methoxychromen-2-one			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00169449-02_C15H22O8_beta-D-Glucopyranoside, 4-(2-hydroxyethyl)-2-methoxyphenyl	beta-D-Glucopyranoside, 4-(2-hydroxyethyl)-2-methoxyphenyl			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00169491-02!(4S)-4-hydroxy-3,5,5-trimethyl-4-[(E)-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybut-1-enyl]cyclohex-2-en-1-one	(4S)-4-hydroxy-3,5,5-trimethyl-4-[(E)-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybut-1-enyl]cyclohex-2-en-1-one			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00169514-02!(5R)-5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)tetradecan-3-one	(5R)-5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)tetradecan-3-one	InChI=1S/C21H34O4/c1-3-4-5-6-7-8-9-10-18(22)16-19(23)13-11-17-12-14-20(24)21(15-17)25-2/h12,14-15,18,22,24H,3-11,13,16H2,1-2H3/t18-/m1/s1	CCCCCCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O	unknown			unknown	unknown	natural	natural products database hit								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/23786427
NCGC00169534-02_C14H18O9_Ethanone, 1-[4-(beta-D-glucopyranosyloxy)-2,6-dihydroxyphenyl]-	Ethanone, 1-[4-(beta-D-glucopyranosyloxy)-2,6-dihydroxyphenyl]-			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00169550-02!(E)-3-(4-hydroxy-3-methoxyphenyl)-N-[2-(4-hydroxyphenyl)ethyl]prop-2-enamide	(E)-3-(4-hydroxy-3-methoxyphenyl)-N-[2-(4-hydroxyphenyl)ethyl]prop-2-enamide	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00169582-02_C11H12O4_1H-2-Benzopyran-1-one, 3,4-dihydro-6-hydroxy-8-methoxy-3-methyl-	1H-2-Benzopyran-1-one, 3,4-dihydro-6-hydroxy-8-methoxy-3-methyl-			unknown			unknown	unknown	natural	natural products database hit								no	no		
NCGC00169593-02_C14H20O6_2-Phenylethyl beta-D-glucopyranoside	2-Phenylethyl beta-D-glucopyranoside	InChI=1S/C14H20O6/c15-8-10-11(16)12(17)13(18)14(20-10)19-7-6-9-4-2-1-3-5-9/h1-5,10-18H,6-8H2/t10-,11-,12+,13-,14-/m1/s1	C1=CC=C(C=C1)CCOC2C(C(C(C(O2)CO)O)O)O				unknown	unknown	natural	natural products database hit								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/11289099
NCGC00169637-02!(2S)-2-(3,4-dihydroxyphenyl)-5-hydroxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydrochromen-4-one	(2S)-2-(3,4-dihydroxyphenyl)-5-hydroxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydrochromen-4-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00169653-02!7-[3-[3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-hydroxy-2-(4-hydroxyphenyl)chromen-4-one	7-[3-[3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-hydroxy-2-(4-hydroxyphenyl)chromen-4-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00169655-02_C21H30O12_4-Allyl-2-(beta-D-glucopyranosyloxy)phenyl beta-D-glucopyranoside	4-Allyl-2-(beta-D-glucopyranosyloxy)phenyl beta-D-glucopyranoside	InChI=1S/C21H30O12/c1-2-3-9-4-5-10(30-20-18(28)16(26)14(24)12(7-22)32-20)11(6-9)31-21-19(29)17(27)15(25)13(8-23)33-21/h2,4-6,12-29H,1,3,7-8H2/t12-,13-,14-,15-,16+,17+,18-,19-,20-,21-/m1/s1	C=CCC1=CC(=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O)OC3C(C(C(C(O3)CO)O)O)O	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/23757231
NCGC00169715-02_C20H30O2_Abieta-8(14),9(11),12-triene-7,18-diol	Abieta-8(14),9(11),12-triene-7,18-diol	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00169717-02!(E)-1-(4-hydroxy-3-methoxyphenyl)tetradec-4-en-3-one	(E)-1-(4-hydroxy-3-methoxyphenyl)tetradec-4-en-3-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00169723-02![(2S,3R,4R,5R,6S)-2-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-4,5-dihydroxy-6-methyloxan-3-yl] 3,4,5-trihydroxybenzoate	[(2S,3R,4R,5R,6S)-2-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-4,5-dihydroxy-6-methyloxan-3-yl] 3,4,5-trihydroxybenzoate	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00169785-04!5-[(3R,3aR,6S,6aR)-3-(1,3-benzodioxol-5-yl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]-1,3-benzodioxole	5-[(3R,3aR,6S,6aR)-3-(1,3-benzodioxol-5-yl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]-1,3-benzodioxole	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00169806-03_C20H32O3_1-Naphthalenecarboxylic acid, decahydro-5-(3-hydroxy-3-methyl-4-penten-1-yl)-1,4a-dimethyl-6-methylene-, (1R,4aR,5S)-	1-Naphthalenecarboxylic acid, decahydro-5-(3-hydroxy-3-methyl-4-penten-1-yl)-1,4a-dimethyl-6-methylene-, (1R,4aR,5S)-	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00169807-02!(2S)-7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5-hydroxy-2,3-dihydrochromen-4-one	(2S)-7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5-hydroxy-2,3-dihydrochromen-4-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00169940-02!3-(1H-indol-3-ylmethyl)-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione	3-(1H-indol-3-ylmethyl)-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00169957-03_C30H51N5O7_3-sec-Butyl-16-isobutyl-6-isopropyl-5,8,9-trimethyldodecahydropyrrolo[1,2-d][1,4,7,10,13,16]oxapentaazacyclononadecine-1,4,7,10,14,17(11H,16H)-hexone	3-sec-Butyl-16-isobutyl-6-isopropyl-5,8,9-trimethyldodecahydropyrrolo[1,2-d][1,4,7,10,13,16]oxapentaazacyclononadecine-1,4,7,10,14,17(11H,16H)-hexone	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00169961-02!4-hydroxy-3-[(2E,6E)-4-hydroxy-3,7,11-trimethyldodeca-2,6,10-trienyl]benzoic acid	4-hydroxy-3-[(2E,6E)-4-hydroxy-3,7,11-trimethyldodeca-2,6,10-trienyl]benzoic acid	InChI=1S/C22H30O4/c1-15(2)6-5-7-16(3)8-12-20(23)17(4)9-10-18-14-19(22(25)26)11-13-21(18)24/h6,8-9,11,13-14,20,23-24H,5,7,10,12H2,1-4H3,(H,25,26)/b16-8+,17-9+	CC(=CCCC(=CCC(C(=CCC1=C(C=CC(=C1)C(=O)O)O)C)O)C)C	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/23872143#section=Top
NCGC00178483-05_C26H30O8_1H,3H-Oxireno[c]pyrano[4'',3'':2',3']furo[3',4':5,6]naphtho[1,2-d]pyran-3,8,10(6H,9aH)-trione, 12-(3-furanyl)decahydro-6,6,8a,12a-tetramethyl-, (4aS,6aR,8aR,8bR,9aS,12S,12aS,14aR,14bR)-	1H,3H-Oxireno[c]pyrano[4'',3'':2',3']furo[3',4':5,6]naphtho[1,2-d]pyran-3,8,10(6H,9aH)-trione, 12-(3-furanyl)decahydro-6,6,8a,12a-tetramethyl-, (4aS,6aR,8aR,8bR,9aS,12S,12aS,14aR,14bR)-	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00178486-02!5-hydroxy-2-(4-hydroxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one	5-hydroxy-2-(4-hydroxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00178573-02!2-[2-(3,4-dimethoxyphenyl)ethyl]-4-methoxy-2,3-dihydropyran-6-one	2-[2-(3,4-dimethoxyphenyl)ethyl]-4-methoxy-2,3-dihydropyran-6-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00179752-02!5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one	5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00179850-02_C42H66O16_Hexopyranose, 1-O-[(3beta,5xi,9xi)-3-(hexopyranuronosyloxy)-23,24-dihydroxy-28-oxoolean-12-en-28-yl]-	Hexopyranose, 1-O-[(3beta,5xi,9xi)-3-(hexopyranuronosyloxy)-23,24-dihydroxy-28-oxoolean-12-en-28-yl]-	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00179887-02!3-[(2S,3R,4S,5R,6R)-6-[[(2R,3R,4R,5S,6S)-3,5-dihydroxy-6-methyl-4-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5-hydroxy-7-methoxychromen-4-one	3-[(2S,3R,4S,5R,6R)-6-[[(2R,3R,4R,5S,6S)-3,5-dihydroxy-6-methyl-4-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5-hydroxy-7-methoxychromen-4-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00179918-02!5-hydroxy-2-(4-hydroxyphenyl)-7-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-3-(3,4,5-trihydroxyoxan-2-yl)oxychromen-4-one	5-hydroxy-2-(4-hydroxyphenyl)-7-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-3-(3,4,5-trihydroxyoxan-2-yl)oxychromen-4-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
